2.1207,2.3203,2.288,-3.9555,0.63474,5.5398,-5.0611,-6.1795,1
3.143,3.3609,4.7781,1.1131,1.2998,8.1196,-0.34383,-0.98546,2
2.7984,3.4413,8.354,-1.9282,-0.61697,6.208,-0.88906,-5.13,2
2.7159,5.3785,5.4368,0.049969,2.7012,5.8404,-1.7076,-2.3459,2
2.6894,5.7857,1.3417,5.4783,0.44943,8.1784,9.0797,-4.206,2
1.1275,1.8955,4.8575,-0.23672,0.2214,5.781,0.6178,-7.4644,2
6.9238,8.6843,9.6171,3.2504,-0.41583,5.5,4.3619,-5.0723,2
0.75321,1.2944,0.83318,-3.8642,-2.8376,3.8473,-8.1934,-5.8388,1
0.34385,3.3765,3.8464,-2.2932,-2.4195,4.7784,-1.788,-5.8499,1
2.8371,3.6077,7.7305,1.1,1.3439,8.0244,0.16124,-3.5953,2
2.1043,3.973,4.4604,-1.1893,-0.43846,5.3274,-4.6858,-0.34554,1
3.7574,7.0481,6.806,0.09032,1.495,3.5688,-1.243,-7.7752,2
2.0213,4.0725,7.4871,1.3318,0.4003,3.4572,-4.5275,-6.5301,2
1.1999,0.76791,-3.1392,-2.8257,-2.2948,5.2966,-6.8915,-4.6071,1
3.9657,3.9113,6.3047,1.0988,1.7674,7.211,-2.998,-5.6628,2
1.0293,0.7369,1.3681,-1.5498,-1.583,5.2858,-3.4451,-11.249,1
3.2841,7.4209,1.3702,1.9201,2.7812,6.8384,-3.8085,0.46711,2
1.9602,4.0712,-1.3718,-1.3267,2.6948,7.4662,-5.731,3.8942,2
1.838,4.4729,6.7202,2.4624,3.1248,8.1279,-4.4838,-2.4568,2
4.2247,1.257,5.8932,0.76652,-0.099774,6.7212,-3.9341,-5.818,2
2.5641,6.044,2.4266,-0.65922,-1.3079,4.1451,-2.7841,-4.4734,2
2.8786,9.4378,5.8433,-0.38361,3.0257,3.4298,-2.8013,-4.0527,2
1.4108,2.6326,6.4238,-3.376,0.89825,5.2374,-2.8208,-7.0751,2
0.90085,4.9724,5.0601,1.6986,1.9181,6.7796,-0.16315,-3.3987,2
4.7714,6.3257,13.361,-0.012834,0.58139,5.944,-1.4532,-4.5813,2
2.5131,4.7038,2.7264,-0.12624,-0.50751,3.2076,-4.9175,-4.2983,2
2.7178,2.6115,5.1036,-4.46,-1.402,5.9241,-5.6354,-2.1369,2
0.3527,0.80112,0.43599,-0.53792,0.5462,8.3658,-4.4941,-5.5301,2
3.5947,2.2805,7.5404,1.0899,-1.4752,5.7383,-8.1159,-2.0393,2
-0.29723,1.4913,0.42789,-4.2286,-4.1776,2.9346,-6.2068,-3.1573,1
5.6127,6.0679,7.6723,-3.153,2.6285,10.525,-5.5293,2.0208,2
3.7268,6.2662,8.9063,-2.8273,-0.90352,4.9515,-5.5803,-5.6459,2
1.5546,1.2101,0.8569,-0.094312,-0.55964,2.5171,-5.0342,-7.8471,1
4.298,0.6109,7.834,-1.0032,-4.6432,3.5656,-3.7934,-8.5557,2
4.455,3.1168,4.5078,0.7281,-2.8559,5.8405,-6.9604,-5.2194,2
4.5957,2.4739,5.7432,-1.6557,-0.66666,5.3154,-0.76086,0.87632,2
3.6272,3.0823,3.0108,2.3916,-1.8163,8.3689,-4.5798,-2.2352,2
0.049723,2.6884,5.1758,-1.8729,-2.7353,5.8891,-2.0801,-10.604,1
1.2551,2.7627,4.1875,-0.53546,-1.9512,4.7876,-3.8029,-3.3681,1
1.3171,5.9261,-0.50838,-1.6078,2.034,5.5396,-7.6431,-7.1391,2
1.8562,3.0926,8.0156,-3.2965,-1.7615,5.3131,-1.8493,-3.9634,1
0.93811,2.8831,6.8931,1.8603,-2.6978,10.467,2.6536,-6.6922,2
1.3704,2.7363,6.5224,-2.1665,-0.70717,4.4054,-4.5416,-8.9148,1
2.0877,5.2229,4.8541,-2.629,0.86268,3.8141,-4.991,-6.6501,1
1.1048,5.71,6.4819,2.1884,1.3117,7.0337,-1.918,-8.7166,2
0.83034,3.3708,4.6386,3.2787,-0.86869,2.4518,-3.5541,-3.5512,1
0.38056,7.7918,4.9033,0.53497,4.5527,7.4361,-4.8924,-0.50706,2
0.70141,3.2563,0.85673,-3.3675,-0.45281,2.9058,-7.9715,-8.3132,1
2.9728,-1.97,2.5696,-3.8058,-2.453,5.8675,-3.2897,-10.254,1
2.9928,6.5418,5.7977,2.0644,-2.4162,4.8866,-5.3659,-2.2459,2
-0.39956,6.8362,5.6449,0.2086,-1.4537,4.2071,-5.2675,0.52941,1
0.92532,3.4104,6.3232,-0.68912,-2.2696,3.2413,-1.9837,-5.207,1
